NAME,POSITION,HEIGHT,FOOT,AGE,RATING,NATION
Mohamed Salah,Attack,175,Left,30,96,Egypt
Cristiano Ronaldo,Attack,187,Right,37,96,Portugal
Kevin de Bruyne,Attack,181,Right,31,96,Belgium
Virgil van Dijk,Defence,193,Both,31,96,Netherlands
Heung-Min Son,Attack,183,Both,30,95,Korea Republic
Harry Kane,Attack,188,Right,28,95,England
Alisson Becker,Goalkeeper,192,Right,29,95,Brazil
Raheem Sterling,Attack,170,Right,27,94,England
Erling Haaland,Attack,194,Left,21,94,Norway
Bernardo Silva,Attack,173,Left,27,94,Portugal
Bruno Fernandes,Midfield,179,Right,27,94,Portugal
Thiago Alcantara,Midfield,174,Right,31,94,Spain
Trent Alexander-Arnold,Defence,175,Right,23,94,England
N'golo Kanté,Midfield,169,Right,31,94,France
João Cancelo,Defence,182,Right,28,94,Portugal
Ederson Moraes,Goalkeeper,188,Left,28,94,Brazil
Romelu Lukaku,Attack,191,Left,29,93,Belgium
Ilkay Gündoğan,Midfield,180,Both,31,93,Germany
Hernández Rodri,Midfield,191,Right,26,93,Spain
Tavares Fabinho,Defence,188,Right,28,93,Brazil
Andy Robertson,Defence,178,Left,28,93,Scotland
Rúben Dias,Defence,188,Right,25,93,Portugal
Raphaël Varane,Defence,191,Right,29,93,France
Gabriel Jesus,Attack,175,Both,25,92,Brazil
Timo Werner,Attack,181,Both,26,92,Germany
Roberto Firmino,Attack,181,Right,30,92,Brazil
Marcus Rashford,Attack,185,Right,24,92,England
Diogo Jota,Attack,178,Both,25,92,Portugal
Jamie Vardy,Attack,178,Both,35,92,England
Mason Mount,Midfield,178,Right,23,92,England
Phil Foden,Attack,171,Left,22,92,England
Luis Díaz,Attack,180,Right,25,92,Colombia
Jadon Sancho,Attack,180,Right,22,92,England
Riyad Mahrez,Attack,178,Left,31,92,Algeria
Mateo Kovačić,Midfield,181,Both,28,92,Croatia
Jordan Henderson,Midfield,182,Right,32,92,England
Frello Jorginho,Midfield,180,Both,30,92,Italy
Thomas Partey,Midfield,185,Right,29,92,Ghana
Reece James,Defence,182,Right,22,92,England
Kyle Walker,Defence,178,Right,32,92,England
Aymeric Laporte,Defence,191,Left,28,92,Spain
Joël Matip,Defence,195,Right,30,92,Cameroon
Harry Maguire,Defence,194,Right,29,92,England
Thiago Silva,Defence,183,Right,37,92,Brazil
Édouard Mendy,Goalkeeper,197,Right,30,92,Senegal
Hugo Lloris,Goalkeeper,188,Left,35,92,France
Andrade Richarlison,Attack,184,Right,25,91,Brazil
Kai Havertz,Attack,189,Left,23,91,Germany
Édinson Cavani,Attack,184,Right,35,91,Uruguay
James Maddison,Midfield,179,Right,25,91,England
Martin Odegaard,Midfield,175,Left,23,91,Norway
Jack Grealish,Attack,175,Right,26,91,England
Hakim Ziyech,Attack,181,Left,29,91,Morocco
Christian Eriksen,Midfield,182,Both,30,91,Denmark
Philippe Coutinho,Midfield,171,Right,30,91,Brazil
Bukayo Saka,Attack,178,Left,20,91,England
Christian Pulisic,Attack,179,Both,23,91,United States
Ivan Perišić,Midfield,186,Both,33,91,Croatia
Rodrigo Bentancur,Midfield,185,Right,25,91,Uruguay
João Moutinho,Midfield,171,Right,35,91,Portugal
Youri Tielemans,Midfield,177,Both,25,91,Belgium
Rúben Neves,Midfield,180,Right,25,91,Portugal
Declan Rice,Defence,185,Right,23,91,England
Tomáš Souček,Midfield,190,Right,27,91,Czech Republic
Wilfred Ndidi,Defence,184,Right,25,91,Nigeria
